SVC_CD|MODIFIER_1|FEE|AS_OF_DATE
0499T|UA|35.00|20231001
0499T|UB|65.00|20231001
0581T|UA|15.00|20231001
0581T|UB|40.00|20231001
0714T|UA|35.00|20231001
0714T|UB|65.00|20231001
0715T|UA|25.00|20231001
0715T|UB|55.00|20231001
0717T|UA|35.00|20231001
0717T|UB|65.00|20231001
0718T|UA|15.00|20231001
0718T|UB|35.00|20231001
0719T|UA|30.00|20231001
0719T|UB|60.00|20231001
0726T|UA|45.00|20231001
0726T|UB|75.00|20231001
0727T|UB|75.00|20231001
0727T|UA|45.00|20231001
0730T|UA|35.00|20231001
0730T|UB|65.00|20231001
0735T|UA|50.00|20231001
0735T|UB|80.00|20231001
0737T|UA|50.00|20231001
0737T|UB|80.00|20231001
0739T|UA|35.00|20231001
0739T|UB|65.00|20231001
0744T|UA|40.00|20231001
0744T|UB|70.00|20231001
0746T|UA|165.00|20231001
0746T|UB|195.00|20231001
0747T|UB|195.00|20231001
0747T|UA|165.00|20231001
0748T|UA|12.00|20231001
0748T|UB|15.00|20231001
0775T|UA|95.00|20231001
0775T|UB|125.00|20231001
0781T|UA|15.00|20231001
0781T|UB|40.00|20231001
0782T|UB|40.00|20231001
0782T|UA|15.00|20231001
10004|UA|22.00|20231001
10004|UB|37.00|20231001
10005|UA|22.00|20231001
10005|UB|37.00|20231001
10006|UA|22.00|20231001
10006|UB|37.00|20231001
10007|UA|22.00|20231001
10007|UB|37.00|20231001
10008|UA|22.00|20231001
10008|UB|37.00|20231001
10009|UA|22.00|20231001
10009|UB|37.00|20231001
10010|UA|22.00|20231001
10010|UB|37.00|20231001
10011|UA|22.00|20231001
10011|UB|37.00|20231001
10012|UA|22.00|20231001
10012|UB|37.00|20231001
10021|UA|22.00|20231001
10021|UB|37.00|20231001
10022|UA|22.00|20231001
10022|UB|37.00|20231001
10030|UA|20.00|20231001
10030|UB|40.00|20231001
10035|UA|22.00|20231001
10035|UB|37.00|20231001
10036|UA|22.00|20231001
10036|UB|37.00|20231001
10040|UB|37.00|20231001
10040|UA|22.00|20231001
10060|UA|20.00|20231001
10060|UB|35.00|20231001
10061|UA|25.00|20231001
10061|UB|45.00|20231001
10080|UA|23.00|20231001
10080|UB|38.00|20231001
10081|UA|30.00|20231001
10081|UB|60.00|20231001
10120|UA|25.00|20231001
10120|UB|39.00|20231001
10121|UA|25.00|20231001
10121|UB|55.00|20231001
10140|UA|20.00|20231001
10140|UB|40.00|20231001
10160|UA|8.00|20231001
10160|UB|8.00|20231001
10180|UA|17.00|20231001
10180|UB|37.00|20231001
11001|UA|11.00|20231001
11001|UB|25.00|20231001
11004|UA|11.00|20231001
11004|UB|25.00|20231001
11005|UA|11.00|20231001
11005|UB|25.00|20231001
11006|UA|11.00|20231001
11006|UB|25.00|20231001
11008|UA|11.00|20231001
11008|UB|25.00|20231001
11010|UA|11.00|20231001
11010|UB|25.00|20231001
11011|UA|11.00|20231001
11011|UB|25.00|20231001
11012|UA|11.00|20231001
11012|UB|25.00|20231001
11042|UA|11.00|20231001
11042|UB|25.00|20231001
11043|UA|11.00|20231001
11043|UB|25.00|20231001
11044|UA|11.00|20231001
11044|UB|25.00|20231001
11045|UA|11.00|20231001
11045|UB|25.00|20231001
11046|UA|11.00|20231001
11046|UB|25.00|20231001
11047|UB|25.00|20231001
11047|UA|11.00|20231001
11056|UA|7.00|20231001
11056|UB|7.00|20231001
11057|UB|7.00|20231001
11057|UA|7.00|20231001
11100|UA|17.00|20231001
11100|UB|31.00|20231001
11101|UA|17.00|20231001
11101|UB|37.00|20231001
11103|UA|17.00|20231001
11103|UB|31.00|20231001
11104|UA|17.00|20231001
11104|UB|31.00|20231001
11105|UA|17.00|20231001
11105|UB|31.00|20231001
11106|UA|17.00|20231001
11106|UB|31.00|20231001
11107|UB|31.00|20231001
11107|UA|17.00|20231001
11200|UA|13.00|20231001
11200|UB|27.00|20231001
11201|UA|13.00|20231001
11201|UB|33.00|20231001
