SVC_CD|MODIFIER_1|FEE|ASOFDATE
0499T|UA|30.0|20240401
0499T|UB|60.0|20240401
0581T|UA|10.0|20240401
0581T|UB|35.0|20240401
0660T|UB|30.0|20240401
0660T|UA|20.0|20240401
0661T|UB|30.0|20240401
0661T|UA|20.0|20240401
0714T|UA|30.0|20240401
0714T|UB|60.0|20240401
0715T|UA|20.0|20240401
0715T|UB|50.0|20240401
0717T|UB|60.0|20240401
0717T|UA|30.0|20240401
0718T|UB|30.0|20240401
0718T|UA|10.0|20240401
0719T|UA|25.0|20240401
0719T|UB|55.0|20240401
0725T|UA|40.0|20240401
0725T|UB|70.0|20240401
0726T|UB|70.0|20240401
0726T|UA|40.0|20240401
0727T|UA|40.0|20240401
0727T|UB|70.0|20240401
0730T|UB|60.0|20240401
0730T|UA|30.0|20240401
0735T|UA|45.0|20240401
0735T|UB|75.0|20240401
0737T|UB|75.0|20240401
0737T|UA|45.0|20240401
0739T|UB|60.0|20240401
0739T|UA|30.0|20240401
0744T|UA|35.0|20240401
0744T|UB|65.0|20240401
0745T|UB|190.0|20240401
0745T|UA|160.0|20240401
0746T|UB|190.0|20240401
0746T|UA|160.0|20240401
0747T|UA|160.0|20240401
0747T|UB|190.0|20240401
0748T|UB|10.0|20240401
0748T|UA|7.0|20240401
0775T|UA|90.0|20240401
0775T|UB|120.0|20240401
0781T|UB|35.0|20240401
0781T|UA|10.0|20240401
0782T|UB|35.0|20240401
0782T|UA|10.0|20240401
10004|UB|32.0|20240401
10004|UA|17.0|20240401
10005|UB|32.0|20240401
10005|UA|17.0|20240401
10006|UB|32.0|20240401
10006|UA|17.0|20240401
10007|UB|32.0|20240401
10007|UA|17.0|20240401
10008|UB|32.0|20240401
10008|UA|17.0|20240401
10009|UA|17.0|20240401
10009|UB|32.0|20240401
10010|UB|32.0|20240401
10010|UA|17.0|20240401
10011|UA|17.0|20240401
10011|UB|32.0|20240401
10012|UA|17.0|20240401
10012|UB|32.0|20240401
10021|UA|17.0|20240401
10021|UB|32.0|20240401
10022|UB|32.0|20240401
10022|UA|17.0|20240401
10030|UA|15.0|20240401
10030|UB|35.0|20240401
10035|UB|32.0|20240401
10035|UA|17.0|20240401
10036|UA|17.0|20240401
10036|UB|32.0|20240401
10040|UA|17.0|20240401
10040|UB|32.0|20240401
10060|UA|15.0|20240401
10060|UB|30.0|20240401
10061|UA|20.0|20240401
10061|UB|40.0|20240401
10080|UA|18.0|20240401
10080|UB|33.0|20240401
10081|UB|55.0|20240401
10081|UA|25.0|20240401
10120|UB|34.0|20240401
10120|UA|20.0|20240401
10121|UB|50.0|20240401
10121|UA|20.0|20240401
10140|UB|35.0|20240401
10140|UA|15.0|20240401
10160|UB|3.0|20240401
10160|UA|3.0|20240401
10180|UA|12.0|20240401
10180|UB|32.0|20240401
11000|UA|6.0|20240401
11000|UB|20.0|20240401
11001|UA|6.0|20240401
11001|UB|20.0|20240401
11004|UA|6.0|20240401
11004|UB|20.0|20240401
11005|UB|20.0|20240401
11005|UA|6.0|20240401
11006|UB|20.0|20240401
11006|UA|6.0|20240401
11008|UB|20.0|20240401
11008|UA|6.0|20240401
11010|UB|20.0|20240401
11010|UA|6.0|20240401
