SVC_CD|MODIFIER_1|FEE|ASOFDATE
0499T|UA|35.0|20240701
0499T|UB|65.0|20240701
0581T|UA|15.0|20240701
0581T|UB|40.0|20240701
0660T|UB|35.0|20240701
0660T|UA|25.0|20240701
0661T|UB|35.0|20240701
0661T|UA|25.0|20240701
0714T|UB|65.0|20240701
0714T|UA|35.0|20240701
0715T|UA|25.0|20240701
0715T|UB|55.0|20240701
0717T|UA|35.0|20240701
0717T|UB|65.0|20240701
0718T|UB|35.0|20240701
0718T|UA|15.0|20240701
0719T|UA|30.0|20240701
0719T|UB|60.0|20240701
0725T|UB|75.0|20240701
0725T|UA|45.0|20240701
0726T|UB|75.0|20240701
0726T|UA|45.0|20240701
0727T|UB|75.0|20240701
0727T|UA|45.0|20240701
0730T|UB|65.0|20240701
0730T|UA|35.0|20240701
0735T|UB|80.0|20240701
0735T|UA|50.0|20240701
0737T|UB|80.0|20240701
0737T|UA|50.0|20240701
0739T|UB|65.0|20240701
0739T|UA|35.0|20240701
0744T|UB|70.0|20240701
0744T|UA|40.0|20240701
0745T|UB|195.0|20240701
0745T|UA|165.0|20240701
0746T|UB|195.0|20240701
0746T|UA|165.0|20240701
0747T|UA|165.0|20240701
0747T|UB|195.0|20240701
0748T|UA|12.0|20240701
0748T|UB|15.0|20240701
0775T|UB|125.0|20240701
0775T|UA|95.0|20240701
0781T|UB|40.0|20240701
0781T|UA|15.0|20240701
0782T|UB|40.0|20240701
0782T|UA|15.0|20240701
0867T|UB|65.0|20240701
0867T|UA|35.0|20240701
0869T|UA|12.0|20240701
0869T|UB|15.0|20240701
0870T|UB|85.0|20240701
0870T|UA|55.0|20240701
0871T|UB|85.0|20240701
0871T|UA|55.0|20240701
0872T|UA|55.0|20240701
0872T|UB|85.0|20240701
0873T|UA|30.0|20240701
0873T|UB|60.0|20240701
0874T|UA|17.0|20240701
0874T|UB|47.0|20240701
0884T|UA|20.0|20240701
0884T|UB|40.0|20240701
0885T|UB|55.0|20240701
0885T|UA|25.0|20240701
0886T|UB|55.0|20240701
0886T|UA|25.0|20240701
10004|UA|22.0|20240701
10004|UB|37.0|20240701
10005|UA|22.0|20240701
10005|UB|37.0|20240701
10006|UB|37.0|20240701
10006|UA|22.0|20240701
10007|UB|37.0|20240701
10007|UA|22.0|20240701
10008|UA|22.0|20240701
10008|UB|37.0|20240701
10009|UA|22.0|20240701
10009|UB|37.0|20240701
10010|UA|22.0|20240701
10010|UB|37.0|20240701
10011|UA|22.0|20240701
10011|UB|37.0|20240701
10012|UA|22.0|20240701
10012|UB|37.0|20240701
10021|UB|37.0|20240701
10021|UA|22.0|20240701
10022|UA|22.0|20240701
10022|UB|37.0|20240701
10030|UA|20.0|20240701
10030|UB|40.0|20240701
10035|UA|22.0|20240701
10035|UB|37.0|20240701
10036|UA|22.0|20240701
10036|UB|37.0|20240701
10040|UB|37.0|20240701
10040|UA|22.0|20240701
10060|UB|35.0|20240701
10060|UA|20.0|20240701
10061|UB|45.0|20240701
10061|UA|25.0|20240701
10080|UB|38.0|20240701
10080|UA|23.0|20240701
10081|UB|60.0|20240701
10081|UA|30.0|20240701
10120|UB|39.0|20240701
10120|UA|25.0|20240701
10121|UA|25.0|20240701
10121|UB|55.0|20240701
10140|UB|40.0|20240701
10140|UA|20.0|20240701
10160|UB|8.0|20240701
10160|UA|8.0|20240701
10180|UB|37.0|20240701
10180|UA|17.0|20240701
11000|UA|11.0|20240701
11000|UB|25.0|20240701
11001|UA|11.0|20240701
11001|UB|25.0|20240701
11004|UB|25.0|20240701
11004|UA|11.0|20240701
11005|UB|25.0|20240701
11005|UA|11.0|20240701
11006|UB|25.0|20240701
11006|UA|11.0|20240701
11008|UA|11.0|20240701
11008|UB|25.0|20240701
11010|UA|11.0|20240701
11010|UB|25.0|20240701
11011|UA|11.0|20240701
11011|UB|25.0|20240701
11012|UB|25.0|20240701
11012|UA|11.0|20240701
11042|UA|11.0|20240701
11042|UB|25.0|20240701
11043|UA|11.0|20240701
11043|UB|25.0|20240701
11044|UA|11.0|20240701
11044|UB|25.0|20240701
11045|UA|11.0|20240701
11045|UB|25.0|20240701
11046|UA|11.0|20240701
11046|UB|25.0|20240701
11047|UB|25.0|20240701
11047|UA|11.0|20240701
11055|UA|7.0|20240701
11055|UB|7.0|20240701
11056|UA|7.0|20240701
11056|UB|7.0|20240701
11057|UB|7.0|20240701
11057|UA|7.0|20240701
11100|UA|17.0|20240701
11100|UB|31.0|20240701
11101|UB|37.0|20240701
11101|UA|17.0|20240701
11102|UB|31.0|20240701
11102|UA|17.0|20240701
11103|UA|17.0|20240701
11103|UB|31.0|20240701
11104|UB|31.0|20240701
11104|UA|17.0|20240701
11105|UA|17.0|20240701
11105|UB|31.0|20240701
11106|UA|17.0|20240701
11106|UB|31.0|20240701
11107|UB|31.0|20240701
11107|UA|17.0|20240701
11200|UB|27.0|20240701
11200|UA|13.0|20240701
11201|UB|33.0|20240701
11201|UA|13.0|20240701
11300|UB|13.0|20240701
11300|UA|13.0|20240701
11301|UA|13.0|20240701
11301|UB|13.0|20240701
11302|UA|13.0|20240701
11302|UB|13.0|20240701
11303|UB|13.0|20240701
11303|UA|13.0|20240701
11305|UA|13.0|20240701
11305|UB|13.0|20240701
11306|UA|13.0|20240701
11306|UB|13.0|20240701
11307|UB|13.0|20240701
11307|UA|13.0|20240701
11308|UA|13.0|20240701
11308|UB|13.0|20240701
11310|UA|13.0|20240701
11310|UB|13.0|20240701
11311|UB|13.0|20240701
11311|UA|13.0|20240701
11312|UA|13.0|20240701
11312|UB|13.0|20240701
11313|UA|13.0|20240701
11313|UB|13.0|20240701
11400|UA|19.0|20240701
11400|UB|33.0|20240701
11401|UA|19.0|20240701
11401|UB|33.0|20240701
11402|UA|19.0|20240701
11402|UB|33.0|20240701
11403|UB|33.0|20240701
11403|UA|19.0|20240701
11404|UA|19.0|20240701
11404|UB|33.0|20240701
11406|UB|33.0|20240701
11406|UA|19.0|20240701
11420|UA|19.0|20240701
11420|UB|33.0|20240701
11421|UB|33.0|20240701
11421|UA|19.0|20240701
11422|UB|33.0|20240701
11422|UA|19.0|20240701
11423|UA|19.0|20240701
11423|UB|33.0|20240701
11424|UA|19.0|20240701
11424|UB|33.0|20240701
11426|UA|19.0|20240701
11426|UB|39.0|20240701
11440|UA|21.0|20240701
11440|UB|41.0|20240701
11441|UB|41.0|20240701
11441|UA|21.0|20240701
11442|UB|41.0|20240701
11442|UA|21.0|20240701
11443|UB|41.0|20240701
11443|UA|21.0|20240701
11444|UB|41.0|20240701
11444|UA|21.0|20240701
11446|UA|21.0|20240701
11446|UB|41.0|20240701
11450|UB|41.0|20240701
11450|UA|21.0|20240701
11451|UB|45.0|20240701
11451|UA|25.0|20240701
11462|UA|21.0|20240701
11462|UB|41.0|20240701
11463|UB|45.0|20240701
11463|UA|25.0|20240701
11470|UB|41.0|20240701
11470|UA|21.0|20240701
11471|UB|45.0|20240701
11471|UA|25.0|20240701
11600|UA|20.0|20240701
11600|UB|40.0|20240701
11601|UB|40.0|20240701
11601|UA|20.0|20240701
11602|UB|40.0|20240701
11602|UA|20.0|20240701
11603|UB|40.0|20240701
11603|UA|20.0|20240701
11604|UB|40.0|20240701
11604|UA|20.0|20240701
11606|UB|40.0|20240701
11606|UA|20.0|20240701
11620|UB|40.0|20240701
11620|UA|20.0|20240701
11621|UB|40.0|20240701
11621|UA|20.0|20240701
11622|UA|20.0|20240701
11622|UB|40.0|20240701
11623|UA|20.0|20240701
11623|UB|40.0|20240701
11624|UA|20.0|20240701
11624|UB|40.0|20240701
11626|UA|20.0|20240701
11626|UB|40.0|20240701
11640|UA|22.0|20240701
11640|UB|42.0|20240701
11641|UB|42.0|20240701
11641|UA|22.0|20240701
11642|UA|22.0|20240701
11642|UB|42.0|20240701
11643|UB|42.0|20240701
11643|UA|22.0|20240701
11644|UB|42.0|20240701
11644|UA|22.0|20240701
11646|UB|42.0|20240701
11646|UA|22.0|20240701
11719|UB|9.0|20240701
11719|UA|9.0|20240701
11720|UA|9.0|20240701
11720|UB|9.0|20240701
11721|UA|13.0|20240701
11721|UB|13.0|20240701
11730|UB|35.0|20240701
11730|UA|15.0|20240701
11732|UB|35.0|20240701
11732|UA|15.0|20240701
11740|UB|11.0|20240701
11740|UA|11.0|20240701
11750|UB|44.0|20240701
11750|UA|24.0|20240701
11755|UB|55.0|20240701
11755|UA|25.0|20240701
11760|UB|65.0|20240701
11760|UA|35.0|20240701
11762|UB|65.0|20240701
11762|UA|35.0|20240701
11765|UB|52.0|20240701
11765|UA|22.0|20240701
11770|UB|47.0|20240701
11770|UA|27.0|20240701
11771|UA|35.0|20240701
11771|UB|55.0|20240701
11772|UA|35.0|20240701
11772|UB|55.0|20240701
11900|UB|9.0|20240701
11900|UA|9.0|20240701
11901|UA|9.0|20240701
11901|UB|9.0|20240701
11950|UB|9.0|20240701
11950|UA|9.0|20240701
11951|UA|9.0|20240701
11951|UB|9.0|20240701
11952|UA|9.0|20240701
11952|UB|9.0|20240701
11954|UB|9.0|20240701
11954|UA|9.0|20240701
11960|UB|9.0|20240701
11960|UA|9.0|20240701
11970|UA|14.0|20240701
11970|UB|44.0|20240701
11971|UA|14.0|20240701
11971|UB|44.0|20240701
11976|UA|17.0|20240701
11976|UB|47.0|20240701
